gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000003526.12	Prodh	346.916888069787	4.9371453848331	0.231095667319527	21.3640759348668	2.88505185545343e-101	7.37255411802847e-99
ENSMUSG00000022665.15	Ccdc80	16097.6758627879	-1.66689023053114	0.0782266597083465	-21.3084674297206	9.47461400838052e-101	2.39164677267644e-98
ENSMUSG00000003279.17	Dlgap1	470.409524049134	6.64522056865282	0.313018202943453	21.2295020103137	5.10000586150257e-100	1.27186772683424e-97
ENSMUSG00000000308.14	Ckmt1	377.307800385787	6.08307678066939	0.28660414974413	21.2246640046913	5.65288114322022e-100	1.39296412837518e-97
ENSMUSG00000033644.5	Piwil2	535.120694062394	7.25036956352583	0.341625813239438	21.2231315156627	5.84018591580802e-100	1.42218833260365e-97
ENSMUSG00000023043.7	Krt18	433.635499600692	6.16062253868241	0.293551290871528	20.9865285224673	8.70780348184518e-98	2.0958467938455e-95
ENSMUSG00000022055.7	Nefl	430.696176852887	5.57901224435957	0.2659211447782	20.9799497103283	9.99991389584847e-98	2.37917491643871e-95
ENSMUSG00000041439.15	Mfsd6	889.183679743384	2.84868873415835	0.136130653834002	20.926137162553	3.0959187697913e-97	7.2820934790807e-95
ENSMUSG00000044646.15	Zbtb7c	637.804650122459	3.26750432543901	0.156949931747705	20.8187686930089	2.92607999550331e-96	6.80527301426102e-94
ENSMUSG00000016028.11	Celsr1	383.567650528517	6.34794151390647	0.305031123617197	20.810799365749	3.45535288262868e-96	7.9469277019479e-94
ENSMUSG00000017861.11	Mybl2	456.089807715368	3.3264710726239	0.16006034773763	20.7826055587273	6.21901972318576e-96	1.41458779395848e-93
ENSMUSG00000029832.16	Nfe2l3	326.535937853259	4.89280416842524	0.235980252269341	20.7339560042538	1.7112792346655e-95	3.85019226938491e-93
ENSMUSG00000021678.9	F2rl1	345.35910200879	4.2197696947097	0.203981367806503	20.6870349977875	4.53240905906584e-95	1.00877779692047e-92
ENSMUSG00000057963.9	Itpk1	695.808524492722	3.18796480245636	0.154665787257272	20.6119585914206	2.14379455654042e-94	4.72068122615214e-92
ENSMUSG00000041362.17	Shtn1	466.509953423601	3.37960859115381	0.164462170749163	20.5494587342422	7.78260733481544e-94	1.69570725498258e-91
ENSMUSG00000025582.4	Nptx1	426.264552012361	3.10579264015906	0.151346438504586	20.5210817700539	1.39571989792871e-93	3.00937564241941e-91
ENSMUSG00000028179.12	Cth	532.17838779811	3.04130079855729	0.148319792772643	20.5050232454089	1.94176793367768e-93	4.14357262465921e-91
ENSMUSG00000030353.15	Tead4	648.004733108758	2.66646136332771	0.130058619536235	20.5019965061587	2.06639298638332e-93	4.36451718623962e-91
ENSMUSG00000024812.11	Tjp2	1862.18406674788	2.05357094450412	0.100205883996349	20.493516574126	2.45969142534458e-93	5.14274270840479e-91
ENSMUSG00000030093.7	Wnt7a	370.132623222117	6.52202027766441	0.319107686329699	20.4383051774125	7.63446165314482e-93	1.58025721758445e-90
ENSMUSG00000071847.13	Apcdd1	988.581629801044	2.16504563537723	0.106040232291179	20.4172094741567	1.17592261805584e-92	2.40994279912256e-90
ENSMUSG00000039457.4	Ppl	329.160569170904	3.88102303866852	0.190751844168339	20.3459266964859	5.0449543778702e-92	1.02377951634839e-89
ENSMUSG00000028128.13	F3	1810.1886931614	-2.09142538848668	0.102842627884027	-20.3361721838256	6.15511160992425e-92	1.23693840013419e-89
ENSMUSG00000022865.14	Cxadr	1036.29938230279	3.41154901565866	0.167847160180993	20.3253305684762	7.67702261151145e-92	1.52794895226611e-89
ENSMUSG00000102752.1	Gm7694	294.918693588623	4.09864568797788	0.202152289749977	20.2750396399027	2.13619741957797e-91	4.21115717979471e-89
ENSMUSG00000053030.11	Spink2	725.625915380488	8.18097374819795	0.404240497973786	20.2378875674363	4.54224870133398e-91	8.86981187442566e-89
ENSMUSG00000029154.13	Cwh43	746.56528322245	8.32096151926851	0.411823569352132	20.2051609925065	8.81816686809596e-91	1.70586201871699e-88
ENSMUSG00000019996.17	Map7	308.31488713381	4.8055076988871	0.238042533199568	20.1876010740413	1.25827403505551e-90	2.41157539366797e-88
ENSMUSG00000022102.13	Dok2	308.410747709027	5.62083067655242	0.278529029114726	20.1804124130889	1.45526989535991e-90	2.76354418018851e-88
ENSMUSG00000021182.16	Ccdc88c	303.965378014018	4.02355250494097	0.199478111136113	20.1703960500985	1.78205929860151e-90	3.3533495837957e-88
ENSMUSG00000022346.16	Myc	4868.87639653867	2.52689506732231	0.12547520408545	20.1386009749104	3.38770701080218e-90	6.31731057807156e-88
ENSMUSG00000028434.12	Epb41l4b	987.677127656564	2.52397351459391	0.125998817451236	20.0317238340014	2.91394573438708e-89	5.38533596036412e-87
ENSMUSG00000042216.13	Sgsm1	366.564434737826	3.35297590636681	0.167533298282445	20.0137879498678	4.17671593398737e-89	7.65078257677917e-87
ENSMUSG00000029449.11	Rhof	352.197039000021	3.81381057990856	0.190635516075871	20.0057715289039	4.90537107390536e-89	8.90669086480412e-87
ENSMUSG00000024965.9	Fermt3	352.174482346813	5.43419822696666	0.272473281619814	19.9439673301586	1.69105945846855e-88	3.04375997659483e-86
ENSMUSG00000085925.3	Rtl1	339.093641436382	3.26093982669801	0.16470198197471	19.7990320917857	3.03468569283821e-87	5.41508268586708e-85
ENSMUSG00000031075.19	Ano1	2040.05049119096	1.837526988903	0.0929343965710777	19.7723023627493	5.1568066988387e-87	9.12314032985148e-85
ENSMUSG00000092586.8	Ly6g6c	2392.87689988636	11.0061741243818	0.563652952470722	19.526508423556	6.53581635933233e-85	1.14648188832051e-82
