##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	mp2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1500000
Sequences flagged as poor quality	0
Sequence length	251
%GC	44
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	25-29	0.12025562519516342
1103	30-34	0.10504884990763941
1103	35-39	0.3058793315543653
1103	40-44	0.4182386297459999
1103	45-49	0.45300276552328
1103	50-54	0.5582965537284323
1103	55-59	0.18643130285857978
1103	60-64	0.05227933610670732
1103	65-69	0.023272871413553275
1103	70-74	0.14373298100803567
1103	75-79	-0.04637330261201811
1103	80-84	0.07868973864830764
1103	85-89	0.2323835257905742
1103	90-94	0.21432987115846203
1103	95-99	0.3756405300773338
1103	100-104	0.168705593376977
1103	105-109	0.028271912126712095
1103	110-114	0.17662085079772538
1103	115-119	0.14048338020038642
1103	120-124	-0.14856973756299396
1103	125-129	0.3312052476800602
1103	130-134	0.6050796445266542
1103	135-139	0.2839233528262781
1103	140-144	-0.07578592035613241
1103	145-149	0.06802330326058126
1103	150-154	0.07183847533903531
1103	155-159	0.27799886552035247
1103	160-164	0.45055801708039667
1103	165-169	0.9047387015499773
1103	170-174	0.4926091159798709
1103	175-179	0.4266722308662132
1103	180-184	0.22315519008016693
1103	185-189	0.3158516667315716
1103	190-194	0.6949065891054822
1103	195-199	0.45553950755127204
1103	200-204	0.6578979632828492
1103	205-209	0.5438342146668695
1103	210-214	0.049523678256377934
1103	215-219	0.5002712619818332
1103	220-224	0.6347268295061212
1103	225-229	0.375432549536761
1103	230-234	0.868168035339238
1103	235-239	0.5245936155448199
1103	240-244	0.5400894422571483
1103	245-249	0.6276734550084022
1103	250-251	0.25812109332893485
1104	1	-0.050933120865558124
1104	2	0.12136966592963105
1104	3	0.044283622189372096
1104	4	0.24568120154232886
1104	5	-0.00741743654403848
1104	6	0.18915203186332263
1104	7	0.4196922754402195
1104	8	0.32695330920617494
1104	9	0.3930208223834626
1104	10-14	0.1293542675561028
1104	15-19	0.10135564069803138
1104	20-24	0.24920990109160357
1104	25-29	0.2316865910659729
1104	30-34	-0.007095415685029138
1104	35-39	0.12557431870543212
1104	40-44	0.12344303922203181
1104	45-49	0.2698471236928981
1104	50-54	0.2411726790727613
1104	55-59	0.17948800813536536
1104	60-64	0.17370028658341852
1104	65-69	0.3647922360169744
1104	70-74	0.4885769834930116
1104	75-79	0.5114862480453581
1104	80-84	0.390576965383147
1104	85-89	0.22891996820337823
1104	90-94	0.05087529738339924
1104	95-99	0.39418509218646847
1104	100-104	-0.5726697237741547
1104	105-109	-0.4096498012983574
1104	110-114	-0.7551248597818727
1104	115-119	-1.280232511144959
1104	120-124	-0.7058517591644389
1104	125-129	0.1712222307769622
1104	130-134	0.3641678515418647
1104	135-139	0.34397333206795366
1104	140-144	0.029214778827210353
1104	145-149	0.48112003874401665
1104	150-154	0.28801153304814875
1104	155-159	0.38917080176110375
1104	160-164	0.16820612842271743
1104	165-169	0.5005826327291096
1104	170-174	1.0169465960314312
1104	175-179	0.7332005642001498
1104	180-184	0.765656512133905
1104	185-189	0.7338280865774713
1104	190-194	0.8488023192127478
1104	195-199	0.8135350219191615
1104	200-204	0.7107261930604345
1104	205-209	0.6197239601508642
1104	210-214	0.7463656016512239
1104	215-219	0.5752862500836535
1104	220-224	0.6344832555077318
1104	225-229	0.5830861517908446
1104	230-234	0.6903389760732246
1104	235-239	0.7523432429989398
1104	240-244	0.6653684127890145
1104	245-249	0.8739780931095353
1104	250-251	0.3971131303606761
1105	1	-0.23404418166359164
1105	2	-0.10024450581309452
1105	3	0.09370442916276289
1105	4	-0.10813124775152261
1105	5	-0.06698110605097796
1105	6	0.23289665283893868
1105	7	0.18972220204601342
1105	8	0.20152824835879812
1105	9	0.11632798082176521
1105	10-14	0.03696991385903914
1105	15-19	-0.01362355436044993
1105	20-24	0.07480005172605075
1105	25-29	0.15344172408842383
1105	30-34	0.10579882235484916
1105	35-39	0.30622300183318885
1105	40-44	0.2562396311883006
1105	45-49	0.06916637323462993
1105	50-54	0.27988801203165536
1105	55-59	0.03000965557905033
1105	60-64	0.228789514892064
1105	65-69	0.021910726218258958
1105	70-74	0.08495672773808138
1105	75-79	0.11774532798364845
1105	80-84	0.176021162132443
1105	85-89	0.09053604845661312
1105	90-94	0.0026639273050719225
1105	95-99	0.08528551902521286
1105	100-104	-0.569954885721792
1105	105-109	-0.7611041878972813
1105	110-114	-0.8976359516385557
1105	115-119	-1.4883607340241554
1105	120-124	-1.0542819185649748
1105	125-129	0.024857217620578353
1105	130-134	0.4430259817240554
1105	135-139	0.24108690948744993
1105	140-144	0.39486656056327263
1105	145-149	0.5896554347200436
1105	150-154	0.4448594936994539
1105	155-159	-0.23113422611186252
1105	160-164	-0.22375222105675618
1105	165-169	0.19655513131042568
1105	170-174	-0.04385902035941314
1105	175-179	-0.45837746195007156
1105	180-184	0.2973856444219791
1105	185-189	0.49901264607438023
1105	190-194	0.37824178314625456
1105	195-199	0.576513437608714
1105	200-204	0.5950258277584588
1105	205-209	0.46849086643355875
1105	210-214	0.19242216903180065
1105	215-219	0.058149676201075806
1105	220-224	0.3267697526870492
1105	225-229	0.5919563353416599
1105	230-234	0.8034412635282884
1105	235-239	0.4909192837177052
1105	240-244	0.5350523402278853
1105	245-249	0.6630701936176528
1105	250-251	0.15143149821410162
1106	1	0.3231041518431148
1106	2	0.28714679937228027
1106	3	0.22538985856748184
1106	4	0.05417245625183753
1106	5	0.05212447576727541
1106	6	0.8008535467004023
1106	7	0.32936397629983816
1106	8	0.15489518702737826
1106	9	0.06282600437728547
1106	10-14	0.0706191219327934
1106	15-19	4.929980731205319E-4
1106	20-24	0.2807093028732055
1106	25-29	0.08565073790812505
1106	30-34	-0.07304700919659268
1106	35-39	0.13573583523779575
1106	40-44	-0.9815390166616922
1106	45-49	-0.09996584049876844
1106	50-54	0.15226031368408144
1106	55-59	0.08606680294937519
1106	60-64	0.5055483771073028
1106	65-69	0.1270899354093089
1106	70-74	0.19459425437000277
1106	75-79	0.06619330858135442
1106	80-84	0.015624023931579245
1106	85-89	0.3176989645020214
1106	90-94	-1.0655956938956663
1106	95-99	0.07992422073619565
1106	100-104	-0.3393905491791429
1106	105-109	0.32053000035423906
1106	110-114	-0.19342830168113068
1106	115-119	-0.30369508254875655
1106	120-124	0.29961818815532126
1106	125-129	0.29591477915811737
1106	130-134	0.07261355786339863
1106	135-139	0.33423966591474397
1106	140-144	0.20421946763185872
1106	145-149	-0.4386160046940404
1106	150-154	0.7049499555247962
1106	155-159	0.42890672828351484
1106	160-164	0.48165925888791605
1106	165-169	0.8673926063159136
1106	170-174	0.4824331331945295
1106	175-179	-0.0168972186894365
